id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
27569,926.525.625.942.932,Swim,2XU Men's Swimmers Compression Long Sleeve Top,2XU,15.041.000.366.210.900,Men,B23C5765E165D83AA924FA8F13C05F25,1
27445,2.471.966.119.429.110,Swim,TYR Sport Men's Square Leg Short Swim Suit,TYR,389.900.016.784.668,Men,2AB7D3B23574C3DEA2BD278AFD0939AB,1
27457,15.897.600.255.095.900,Swim,TYR Sport Men's Solid Durafast Jammer Swim Suit,TYR,27.600.000.381.469.700,Men,8F831227B0EB6C6D09A0555531365933,1
27466,17.850.000.048.056.200,Swim,TYR Sport Men's Swim Short/Resistance Short Swim Suit,TYR,30,Men,67317D6DCC4CB778AEB9219565F5456B,1
27481,29.408.000.515.669.500,Swim,TYR Alliance Team Splice Jammer,TYR,45.950.000.762.939.400,Men,213C888198806EF1A0E2BBF2F4855C6C,1
27487,15.655.589.914.467.000,Swim,TYR Sport Men's 4-Inch Nylon Trainer-A Swim Suit,TYR,26.489.999.771.118.100,Men,978F39314267ADC0E1C50DB2615B467C,1
27510,22.571.750.484.637.900,Swim,TYR Sport Men's Solid Jammer Swim Suit,TYR,39.950.000.762.939.400,Men,4ECBB790F241666326D31F799EB85D1E,1
27529,22.824.000.120.162.900,Swim,TYR Sport Men's Poly Mesh Trainer Swim Suit,TYR,36,Men,C386CBA5332D11385672EE52D036E8C1,1
27537,24.353.911.066.282.600,Swim,TYR Sport Men's Alliance Durafast Splice Square Leg Swim Suit,TYR,399.900.016.784.668,Men,D012C46243D7E2391B64B221DFCC18E3,1
27552,19.317.550.501.902.400,Swim,TYR Sport Men's Solid Racer Swim Suit,TYR,33.950.000.762.939.400,Men,2AF9B1A840B4ECD522FE1CDA88C8385E,1
27599,16.436.200.169.558.800,Swim,TYR Sport Men's 8-Inch Nylon Team Trainer Swim Suit,TYR,26.510.000.228.881.800,Men,B856243E684B903DE6085DC70830792A,1
27674,27.065.919.520.119.100,Swim,TYR Sport Men's Firerock Splice Jammer Swim Suit,TYR,44.959.999.084.472.600,Men,18F16DE5C7012D9AB4E5DE2A0DCB829B,1
27812,14.894.039.896.076.500,Swim,TYR Sport Men's Solid Durafast Racer Swim Suit,TYR,24.989.999.771.118.100,Men,9729C9467900E712F46044A2E54DA67F,1
27960,15.075.000.037.904.800,Swim,TYR Sport Men's Firerock Splice Racer Swim Suit,TYR,25,Men,7428F98008346BB6AA6FC92D257505AB,1
27976,16.935.750.499.164.600,Swim,TYR Sport Men's Alliance Durafast Splice Racer Swim Suit,TYR,28.950.000.762.939.400,Men,8A39B5F5618C5F29CD29E10B4C15AADB,1
28039,21.698.000.088.334.000,Swim,TYR Sport Men's Universe Racer,TYR,38,Men,0B890A8CA95E146AE3686E4BD3B8C9D2,1
28167,24.840.000.048.279.700,Swim,TYR Sport Men's Universe Splice Jammer,TYR,40,Men,BBDBF47737D418BDC77C73EF28C50A49,1
28204,30.940.000.083.297.400,Swim,TYR Sport Men's Great White Epic Splice Jammer Swim Suit,TYR,52,Men,ECBC7B96B9EC7951187D0DA02230773D,1
27630,73.579.999.953.508.300,Swim,Onia Men's Calder 7.5 Swim Shorts,Onia,130,Men,4E111A3FE1958D7F4C0215BBA108DF0E,1
27946,93.670.000.229.030.800,Swim,Onia Men's Spanish Calder Swim Shorts,Onia,145,Men,E52265108325DAB81AB318B51C5C83A1,1
27912,3.180.799.999.833.100,Swim,2EROS - S03-07 - ICON2 Low Rise Quick Dry Swim Shorts - Black Mystic Pink or Blue,2EROS,56,Men,81DD4DF7529A4765132F4425191D1715,1
28165,23.119.791.052.526.800,Swim,Matix Men's Runway Boardshort,Matix,404.900.016.784.668,Men,219B690D203EB8A0FBFD52A4CB0214CF,1
27490,10.652.729.893.707.100,Swim,Alki'i Men's Boardshorts - Isla Palms,Alki'i,16.989.999.771.118.100,Men,F25A418B357E97B19BCC1A3EDA1AC864,1
27635,10.958.549.908.068.700,Swim,Alki'i Men's Hybrid Boardshorts - Surfer Postcard Print,Alki'i,16.989.999.771.118.100,Men,DA08A1D5B8F673D4CEAAD3B9EF9A17DE,1
27420,23.739.500.060.735.700,Swim,Hurley Young Men's Hurley One and Only Solid Boardshort,Hurley,39.5,Men,45E0C0AB1B34C475F4729D0E2B42A142,1
27425,30.500.000.063.329.900,Swim,Hurley Men's Hurley Puerto Rico Plaid Boardshort,Hurley,50,Men,DA5470B9E6792DBDC7EE450891B2945F,1
27442,4.186.000.008.136.030,Swim,Hurley Men's P60 Kings Road Boardshort,Hurley,65,Men,B6ECAC22311CCB4C6370BE154552F3E5,1
27443,27.585.000.079.125.100,Swim,Hurley Men's Sets Supersuede Boardshort,Hurley,45,Men,27A1E0E31BF1A18797D26F7796F1AE4E,1
27450,34.320.000.093.430.200,Swim,Hurley Men's Phantom 60 Boardshort,Hurley,55,Men,84FC80BE70D6FFD85F3F172F1F8EA150,1
27452,38.805.000.095.162.500,Swim,Hurley Men's Puerto Rico Road Phantom Boardshort,Hurley,65,Men,1FDD72B9FC6717195F76EA7C0783FA25,1
27460,78.259.500.095.620.700,Swim,Hurley Men's BP Solid Boardshort,Hurley,139.5,Men,EC67EC14E2F01A4BAEB2464A044AAEC1,1
27471,21.000.000.052.154.000,Swim,Hurley Men's  One and Only Long Sleeve Rashguard,Hurley,35,Men,2300B63AF8665D2C9B6944135776F084,1
27474,30.305.000.152.438.800,Swim,Hurley Men's Render 2-Way Stretch Board Short,Hurley,55,Men,4F67F486F9C069B4529A73C3F98642FE,1
27498,36.270.000.133.663.400,Swim,Hurley Men's Dimension Phantom Boardshort,Hurley,65,Men,273E78EDE0FF68FCF04AA41A3DD8D36B,1
27530,40.950.000.053.271.600,Swim,Hurley Men's Phantom Lynx Board Short,Hurley,65,Men,7F6667B99574125F65BA90C88D3C6CC3,1
27545,964.275.004.900.992,Swim,Hurley Men's 4D Boardshort,Hurley,149.5,Men,FE103355D7F731A557951558BA906D39,1
27546,34.375.000.102.445.400,Swim,Hurley Men's Change 2 Way Stretch Boardshort,Hurley,55,Men,EA0EFE8ECBC569D1E8349F2625CB6AF8,1
27561,29.550.000.093.877.300,Swim,Hurley Men's Puerto Rico Boardshort,Hurley,50,Men,D35A992032A0224ADC8231A4FF1C8330,1
27566,407.550.001.423.806,Swim,Hurley Men's Hex Phantom Boardshort,Hurley,65,Men,234D9CDB375D458CF93FB427A55DA75F,1
27571,642.000.000.923.872,Swim,Hurley Men's BP Fuse Boardshort,Hurley,100,Men,159222817F81958C839F0CE1903B247B,1
27594,412.750.001.065.433,Swim,Hurley Men's Shutter Phantom Boardshort,Hurley,65,Men,581A6E50827B30666330B83D8D0E3F59,1
27597,18.082.300.525.055.000,Swim,Hurley Men's  One and Only Short Sleeve Rashguard,Hurley,29.450.000.762.939.400,Men,34AC42F166AAB43CE18D720C21903CDA,1
27605,34.045.000.048.354.200,Swim,Hurley Men's Surface Two Way Stretch Boardshort,Hurley,55,Men,C46AA3E64C16B0ECF6BF60161A1E1C76,1
27634,27.810.000.032.186.500,Swim,Hurley Men's Fragment Supersuede Boardshort,Hurley,45,Men,3E8D386863A55823DB6767A73DCDD8F6,1
27647,37.700.000.125.914.800,Swim,Hurley Men's Horizon Phantom Boardshort,Hurley,65,Men,DF17389413B21CAB96900BE63F2C7EC4,1
27650,372.450.000.513.345,Swim,Hurley Men's Puerto Rico Sands Phantom Boardshort,Hurley,65,Men,28C9325A8CF6C9B1EE059630AFC5A838,1
27653,2.628.000.003.285.700,Swim,Hurley Men's Amigo Supersuede Boardshort,Hurley,45,Men,3AF72C083DDB534A6FE310BC744B5809,1
27770,37.310.000.061.988.800,Swim,Hurley Men's Straps Phantom Boardshort,Hurley,65,Men,91139F12AE3F102E07A6C8C7333B685D,1
27784,40.853.548.123.028.800,Swim,Hurley Men's Nova Supersuede Boardshort,Hurley,64.949.996.948.242.100,Men,3FB2E1B55397557A0F3E4370D3AE2073,1
