id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
15721,10826,8614,13606,42278,Shipped,2020-06-28 00:40:17 UTC,2020-06-29 04:40:00 UTC,,,02. Mai
19167,13243,10505,13606,51560,Shipped,2022-03-01 05:18:44 UTC,2022-03-01 20:48:00 UTC,,,02. Mai
77007,53140,42340,13606,207367,Shipped,2021-04-11 01:31:52 UTC,2021-04-14 00:32:00 UTC,,,02. Mai
151639,104681,83704,13606,408715,Shipped,2022-03-29 21:37:06 UTC,2022-03-30 12:41:00 UTC,,,02. Mai
170817,117931,94363,13606,460556,Shipped,2021-02-17 09:28:17 UTC,2021-02-19 19:03:00 UTC,,,02. Mai
11898,8195,6556,13606,32027,Complete,2022-02-17 17:09:18 UTC,2022-02-20 08:18:00 UTC,2022-02-23 04:20:00 UTC,,02. Mai
33541,23172,18388,13606,90324,Complete,2021-08-07 14:45:08 UTC,2021-08-09 14:35:00 UTC,2021-08-11 01:06:00 UTC,,02. Mai
39441,27206,21647,13606,106203,Complete,2021-06-02 03:33:50 UTC,2021-05-30 22:40:00 UTC,2021-05-31 19:41:00 UTC,,02. Mai
82089,56612,45087,13606,221028,Complete,2022-01-16 07:26:59 UTC,2022-01-17 15:47:00 UTC,2022-01-21 21:24:00 UTC,,02. Mai
154043,106341,85049,13606,415192,Complete,2020-01-05 04:30:02 UTC,2020-01-07 05:58:00 UTC,2020-01-11 19:19:00 UTC,,02. Mai
33637,23239,18434,13606,90590,Cancelled,2021-11-28 22:43:14 UTC,,,,02. Mai
90557,62462,49796,28951,243928,Shipped,2021-07-18 17:28:51 UTC,2021-07-19 01:48:00 UTC,,,3
120601,83217,66352,28951,324859,Shipped,2019-08-17 17:49:53 UTC,2019-08-18 16:44:00 UTC,,,3
126013,86949,69377,28951,339518,Shipped,2022-05-25 07:22:35 UTC,2022-05-28 05:53:00 UTC,,,3
33616,23227,18428,28951,90531,Complete,2022-01-02 09:48:46 UTC,2022-01-03 11:38:00 UTC,2022-01-05 03:24:00 UTC,,3
94945,65502,52183,28951,255726,Complete,2021-05-14 01:50:34 UTC,2021-05-14 11:20:00 UTC,2021-05-18 18:10:00 UTC,,3
124826,86109,68728,28951,336347,Complete,2021-08-21 13:03:01 UTC,2021-08-20 19:59:00 UTC,2021-08-22 12:20:00 UTC,,3
31145,21506,17064,28557,83864,Shipped,2020-11-13 07:17:44 UTC,2020-11-14 09:29:00 UTC,,,M�r 25
154250,106485,85179,28557,415731,Shipped,2019-04-28 05:34:04 UTC,2019-04-26 23:19:00 UTC,,,M�r 25
54780,37813,30172,28557,147531,Complete,2022-06-05 13:30:48 UTC,2022-06-05 22:54:00 UTC,2022-06-08 16:41:00 UTC,,M�r 25
81584,56273,44825,28557,219699,Complete,2022-04-21 11:23:06 UTC,2022-04-18 07:06:00 UTC,2022-04-20 07:25:00 UTC,,M�r 25
1641,1103,869,28557,4432,Returned,2020-11-27 23:20:29 UTC,2020-11-28 19:22:00 UTC,2020-11-29 11:36:00 UTC,2020-12-01 11:35:00 UTC,M�r 25
157087,108423,86740,28557,423410,Returned,2021-12-05 23:00:23 UTC,2021-12-05 12:28:00 UTC,2021-12-09 12:20:00 UTC,2021-12-09 13:31:00 UTC,M�r 25
17647,12207,9701,28557,47485,Cancelled,2022-04-18 00:51:39 UTC,,,,M�r 25
40427,27882,22199,28557,108863,Cancelled,2021-06-24 10:30:27 UTC,,,,M�r 25
96145,66358,52833,28557,258904,Cancelled,2022-06-03 15:20:12 UTC,,,,M�r 25
116740,80563,64207,28557,314548,Cancelled,2022-03-19 09:12:28 UTC,,,,M�r 25
143288,98905,78999,28557,386236,Processing,2022-06-09 09:51:28.760332 UTC,,,,M�r 25
4336,2927,2323,28668,11680,Shipped,2022-01-20 07:34:12 UTC,2022-01-20 16:22:00 UTC,,,03. Mai
18032,12464,9913,28668,48516,Shipped,2022-03-20 06:43:36 UTC,2022-03-17 19:40:00 UTC,,,03. Mai
44935,31023,24730,15917,120926,Shipped,2021-10-29 05:06:10 UTC,2021-10-31 03:27:00 UTC,,,03. Mai
47152,32527,25927,15917,126845,Shipped,2022-01-11 17:00:23 UTC,2022-01-12 07:21:00 UTC,,,03. Mai
49974,34430,27416,14248,134440,Shipped,2022-05-18 12:48:12 UTC,2022-05-16 22:20:00 UTC,,,03. Mai
59131,40821,32543,15784,159266,Shipped,2021-09-17 14:13:14 UTC,2021-09-19 07:35:00 UTC,,,03. Mai
74019,51103,40732,28679,199269,Shipped,2021-01-28 01:10:52 UTC,2021-01-30 06:14:00 UTC,,,03. Mai
100091,69093,55001,28679,269522,Shipped,2022-05-08 14:41:28 UTC,2022-05-08 18:15:00 UTC,,,03. Mai
117211,80893,64477,28668,315783,Shipped,2022-04-28 01:53:17 UTC,2022-04-25 08:25:00 UTC,,,03. Mai
117674,81210,64730,28668,317033,Shipped,2020-10-02 23:22:36 UTC,2020-10-05 03:17:00 UTC,,,03. Mai
171529,118411,94748,28668,462447,Shipped,2022-06-09 04:03:25.598361 UTC,2022-06-09 01:20:20.598361 UTC,,,03. Mai
3688,2485,1990,28668,9926,Complete,2021-12-25 02:18:58 UTC,2021-12-24 11:07:00 UTC,2021-12-27 13:29:00 UTC,,03. Mai
22292,15424,12256,15917,60040,Complete,2021-12-14 09:06:40 UTC,2021-12-17 05:26:00 UTC,2021-12-19 13:10:00 UTC,,03. Mai
24442,16921,13435,13696,65777,Complete,2019-12-22 10:15:59 UTC,2019-12-24 15:34:00 UTC,2019-12-29 04:04:00 UTC,,03. Mai
32773,22625,17951,13696,88262,Complete,2021-06-22 13:01:42 UTC,2021-06-23 03:58:00 UTC,2021-06-26 19:28:00 UTC,,03. Mai
46230,31915,25443,13696,124399,Complete,2021-05-11 07:08:34 UTC,2021-05-09 18:38:00 UTC,2021-05-12 06:02:00 UTC,,03. Mai
76390,52728,42006,13696,205697,Complete,2021-05-20 00:15:33 UTC,2021-05-21 07:56:00 UTC,2021-05-22 11:46:00 UTC,,03. Mai
95265,65730,52353,28679,256572,Complete,2020-02-23 16:09:36 UTC,2020-02-24 16:32:00 UTC,2020-02-28 16:10:00 UTC,,03. Mai
126581,87356,69708,13696,341042,Complete,2020-06-23 14:18:35 UTC,2020-06-24 01:56:00 UTC,2020-06-25 04:27:00 UTC,,03. Mai
138407,95566,76370,15419,373057,Complete,2020-07-24 13:07:01 UTC,2020-07-27 03:11:00 UTC,2020-07-27 11:24:00 UTC,,03. Mai
160445,110762,88616,28668,432543,Complete,2021-06-22 22:32:55 UTC,2021-06-22 11:25:00 UTC,2021-06-25 21:29:00 UTC,,03. Mai
